Mã,Tên công ty,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Financial_State_Rule,Pass_Ratio,Company_Label
APH,Tập đoàn An Phát Holdings,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Hàng công nghiệp,Containers & Đóng gói,2024,Stable,0.5,APH - Tập đoàn An Phát Holdings
ASG,Tập đoàn ASG,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2020,Stable,0.5,ASG - Tập đoàn ASG
ASG,Tập đoàn ASG,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2021,At_Risk,0.25,ASG - Tập đoàn ASG
ASG,Tập đoàn ASG,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2022,At_Risk,0.25,ASG - Tập đoàn ASG
ASG,Tập đoàn ASG,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2023,High_Risk,0.0,ASG - Tập đoàn ASG
ASG,Tập đoàn ASG,Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2024,At_Risk,0.25,ASG - Tập đoàn ASG
ASM,Tập đoàn Sao Mai,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,High_Risk,0.0,ASM - Tập đoàn Sao Mai
ASM,Tập đoàn Sao Mai,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,High_Risk,0.0,ASM - Tập đoàn Sao Mai
ASM,Tập đoàn Sao Mai,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,At_Risk,0.25,ASM - Tập đoàn Sao Mai
ASM,Tập đoàn Sao Mai,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,At_Risk,0.25,ASM - Tập đoàn Sao Mai
ASM,Tập đoàn Sao Mai,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,At_Risk,0.25,ASM - Tập đoàn Sao Mai
ASP,Dầu khí An Pha,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2020,At_Risk,0.25,ASP - Dầu khí An Pha
ASP,Dầu khí An Pha,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2021,At_Risk,0.25,ASP - Dầu khí An Pha
ASP,Dầu khí An Pha,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2022,At_Risk,0.25,ASP - Dầu khí An Pha
ASP,Dầu khí An Pha,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2023,At_Risk,0.25,ASP - Dầu khí An Pha
ASP,Dầu khí An Pha,Tiện ích Cộng đồng,"Điện, nước & xăng dầu khí đốt",Nước & Khí đốt,Phân phối xăng dầu & khí đốt,2024,At_Risk,0.25,ASP - Dầu khí An Pha
AST,Dịch vụ Hàng không Taseco,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2020,Stable,0.5,AST - Dịch vụ Hàng không Taseco
AST,Dịch vụ Hàng không Taseco,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2021,At_Risk,0.25,AST - Dịch vụ Hàng không Taseco
AST,Dịch vụ Hàng không Taseco,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2022,At_Risk,0.25,AST - Dịch vụ Hàng không Taseco
AST,Dịch vụ Hàng không Taseco,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2023,Stable,0.5,AST - Dịch vụ Hàng không Taseco
AST,Dịch vụ Hàng không Taseco,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,2024,Stable,0.5,AST - Dịch vụ Hàng không Taseco
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2020,At_Risk,0.25,BAF - Nông nghiệp BAF Việt Nam
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,Stable,0.5,BAF - Nông nghiệp BAF Việt Nam
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,Stable,0.5,BAF - Nông nghiệp BAF Việt Nam
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,High_Risk,0.0,BAF - Nông nghiệp BAF Việt Nam
BAF,Nông nghiệp BAF Việt Nam,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,High_Risk,0.0,BAF - Nông nghiệp BAF Việt Nam
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2020,At_Risk,0.25,BBC - Bánh kẹo BIBICA
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2021,At_Risk,0.25,BBC - Bánh kẹo BIBICA
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2022,Stable,0.5,BBC - Bánh kẹo BIBICA
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2023,At_Risk,0.25,BBC - Bánh kẹo BIBICA
BBC,Bánh kẹo BIBICA,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Thực phẩm,2024,Stable,0.5,BBC - Bánh kẹo BIBICA
BCE,XD và GT Bình Dương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2020,High_Risk,0.0,BCE - XD và GT Bình Dương
BCE,XD và GT Bình Dương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2021,At_Risk,0.25,BCE - XD và GT Bình Dương
BCE,XD và GT Bình Dương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2022,At_Risk,0.25,BCE - XD và GT Bình Dương
BCE,XD và GT Bình Dương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2023,High_Risk,0.0,BCE - XD và GT Bình Dương
BCE,XD và GT Bình Dương,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2024,Stable,0.5,BCE - XD và GT Bình Dương
BFC,Phân bón Bình Điền,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2020,Stable,0.5,BFC - Phân bón Bình Điền
BFC,Phân bón Bình Điền,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2021,Stable,0.5,BFC - Phân bón Bình Điền
BFC,Phân bón Bình Điền,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2022,At_Risk,0.25,BFC - Phân bón Bình Điền
BFC,Phân bón Bình Điền,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2023,At_Risk,0.25,BFC - Phân bón Bình Điền
BFC,Phân bón Bình Điền,Nguyên vật liệu,Hóa chất,Hóa chất,"Sản phẩm hóa dầu, Nông dược & Hóa chất khác",2024,Healthy,0.75,BFC - Phân bón Bình Điền
BHN,HABECO,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,2020,Stable,0.5,BHN - HABECO
BHN,HABECO,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,2021,At_Risk,0.25,BHN - HABECO
BHN,HABECO,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,2022,Healthy,1.0,BHN - HABECO
BHN,HABECO,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,2023,Healthy,1.0,BHN - HABECO
BHN,HABECO,Hàng Tiêu dùng,Thực phẩm và đồ uống,Bia và đồ uống,Sản xuất bia,2024,Healthy,1.0,BHN - HABECO
