Symbol,Company Name,Industry,Start Year,End Year,Overall State,Trend
NSC,Tập đoàn Giống cây trồng Việt Nam,Hàng Tiêu dùng,2020,2024,Stable,Improving
NT2,Điện lực Nhơn Trạch 2,Tiện ích Cộng đồng,2020,2024,At Risk,Deteriorating
OPC,Dược phẩm OPC,Dược phẩm và Y tế,2020,2024,Stable,Stable
PAC,Pin Ắc quy Miền Nam,Công nghiệp,2020,2024,At Risk,Stable
PAN,Tập đoàn PAN,Hàng Tiêu dùng,2020,2024,At Risk,Stable
PC1,Tập đoàn PC1,Công nghiệp,2020,2024,High Risk,Stable
PDN,Cảng Đồng Nai,Công nghiệp,2020,2024,Stable,Improving
PET,Dịch vụ Tổng hợp Dầu khí,Dịch vụ Tiêu dùng,2020,2024,At Risk,Stable
PGC,Gas Petrolimex,Tiện ích Cộng đồng,2020,2024,At Risk,Deteriorating
PGD,PV GAS D,Tiện ích Cộng đồng,2020,2024,At Risk,Stable
PGV,Tổng Công ty Phát điện 3,Tiện ích Cộng đồng,2020,2024,High Risk,Deteriorating
PHC,Phuc Hung Holdings,Công nghiệp,2020,2022,High Risk,Stable
PHC,Xây dựng Phục Hưng Holdings,Công nghiệp,2023,2024,High Risk,Stable
PHR,Cao su Phước Hòa,Nguyên vật liệu,2020,2024,At Risk,Improving
PIT,XNK PETROLIMEX,Dịch vụ Tiêu dùng,2020,2024,High Risk,Improving
PJT,Vận tải thủy PETROLIMEX,Công nghiệp,2020,2024,At Risk,Stable
PLP,SX và CN Nhựa Pha Lê,Nguyên vật liệu,2020,2024,High Risk,Deteriorating
PLX,Petrolimex,Dầu khí,2020,2024,At Risk,Improving
PMG,ĐT và SX Petro Miền Trung,Tiện ích Cộng đồng,2020,2024,High Risk,Stable
PNC,Văn hóa Phương Nam,Dịch vụ Tiêu dùng,2020,2024,High Risk,Stable
PNJ,Vàng Phú Nhuận,Hàng Tiêu dùng,2020,2024,Healthy,Deteriorating
POM,Thép Pomina,Nguyên vật liệu,2020,2022,High Risk,Improving
POW,Điện lực Dầu khí Việt Nam,Tiện ích Cộng đồng,2020,2024,At Risk,Stable
PPC,Nhiệt điện Phả Lại,Tiện ích Cộng đồng,2020,2024,Stable,Deteriorating
PSH,TMại ĐT Dầu khí Nam Sông Hậu,Tiện ích Cộng đồng,2020,2024,High Risk,Improving
PTB,Công ty Cổ phần Phú Tài,Nguyên vật liệu,2020,2024,At Risk,Improving
PTC,Đầu tư ICAPITAL,Công nghiệp,2020,2024,At Risk,Deteriorating
PVD,Khoan Dầu khí PVDrilling,Dầu khí,2020,2024,Stable,Stable
PVP,Vận tải Dầu khí Thái Bình Dương,Công nghiệp,2020,2024,At Risk,Stable
PVT,Vận tải Dầu khí PVTrans,Công nghiệp,2020,2024,At Risk,Stable
QBS,Xuất nhập khẩu Quảng Bình,Nguyên vật liệu,2020,2022,At Risk,Improving
QNP,Cảng Quy Nhơn,Công nghiệp,2023,2024,Healthy,Improving
RAL,Bóng đèn Phích nước Rạng Đông,Hàng Tiêu dùng,2020,2024,At Risk,Deteriorating
RDP,Nhựa Rạng Đông,Nguyên vật liệu,2020,2023,At Risk,Deteriorating
REE,Cơ Điện Lạnh REE,Công nghiệp,2020,2022,Stable,Stable
REE,Cơ Điện Lạnh REE,Tiện ích Cộng đồng,2023,2024,Stable,Stable
RYG,Sản xuất và Đầu tư Hoàng Gia,Công nghiệp,2023,2024,At Risk,Deteriorating
S4A,Thủy điện Sê San 4A,Tiện ích Cộng đồng,2020,2024,Stable,Stable
SAB,SABECO,Hàng Tiêu dùng,2020,2024,Healthy,Stable
SAM,SAM Holdings,Công nghệ Thông tin,2020,2024,At Risk,Improving
SAV,Savimex,Nguyên vật liệu,2020,2024,At Risk,Stable
SBA,Sông Ba JSC,Tiện ích Cộng đồng,2020,2024,Stable,Stable
SBG,Tập Đoàn Cơ Khí Công Nghệ Cao Siba,Công nghiệp,2023,2024,At Risk,Improving
SBT,Mía đường Thành Thành Công - Biên Hòa,Hàng Tiêu dùng,2020,2024,High Risk,Improving
SBV,Siam Brothers Việt Nam,Dịch vụ Tiêu dùng,2020,2024,At Risk,Deteriorating
SC5,Xây dựng Số 5,Công nghiệp,2020,2024,At Risk,Improving
SCD,Giải khát Chương Dương,Hàng Tiêu dùng,2020,2022,At Risk,Deteriorating
SCS,DV Hàng hóa Sài Gòn,Dịch vụ Tiêu dùng,2020,2024,Stable,Deteriorating
SFC,Nhiên liệu Sài Gòn,Tiện ích Cộng đồng,2020,2024,Stable,Deteriorating
SFG,Phân bón Miền Nam,Nguyên vật liệu,2020,2024,At Risk,Stable
SFI,Vận tải SAFI,Công nghiệp,2020,2024,Healthy,Stable
SGN,Phục vụ mặt đất Sài Gòn,Công nghiệp,2020,2024,Healthy,Stable
SGT,Sài Gòn Telecom,Công nghệ Thông tin,2020,2024,High Risk,Stable
SHA,Sơn Hà Sài Gòn,Nguyên vật liệu,2020,2024,High Risk,Stable
SHI,Quốc tế Sơn Hà,Nguyên vật liệu,2020,2024,At Risk,Stable
SHP,Thủy điện Miền Nam,Tiện ích Cộng đồng,2020,2024,Stable,Improving
SJD,Thủy điện Cần Đơn,Tiện ích Cộng đồng,2020,2024,Healthy,Stable
SJF,Đầu tư Sao Thái Dương,Nguyên vật liệu,2020,2022,High Risk,Stable
SKG,Tàu Cao tốc Superdong,Dịch vụ Tiêu dùng,2020,2024,Stable,Stable
SMA,Thiết bị Phụ tùng Sài Gòn,Tiện ích Cộng đồng,2020,2024,At Risk,Improving
SMB,Bia Sài Gòn - Miền Trung,Hàng Tiêu dùng,2020,2024,Healthy,Stable
SMC,Đầu tư Thương mại SMC,Nguyên vật liệu,2020,2024,At Risk,Stable
SPM,S.P.M CORP,Dược phẩm và Y tế,2020,2024,At Risk,Stable
SRC,Cao su Sao Vàng,Hàng Tiêu dùng,2020,2024,High Risk,Stable
SRF,SEAREFICO,Công nghiệp,2020,2024,High Risk,Stable
SSC,Giống cây trồng Miền Nam,Hàng Tiêu dùng,2020,2024,At Risk,Stable
ST8,Tập đoàn ST8,Công nghệ Thông tin,2023,2024,Healthy,Improving
ST8,Đầu tư Phát triển ST8,Công nghệ Thông tin,2020,2022,Healthy,Stable
STG,Kho Vận Miền Nam,Công nghiệp,2020,2024,Stable,Stable
STK,Sợi Thế Kỷ,Hàng Tiêu dùng,2020,2024,At Risk,Deteriorating
SVC,SAVICO,Hàng Tiêu dùng,2020,2024,At Risk,Deteriorating
SVD,Đầu tư & Thương mại Vũ Đăng,Hàng Tiêu dùng,2020,2024,At Risk,Improving
SVI,Bao bì Biên Hòa,Công nghiệp,2020,2024,Stable,Deteriorating
SVT,Công nghệ SG Viễn Đông,Nguyên vật liệu,2020,2024,Healthy,Stable
TBC,Thủy điện Thác Bà,Tiện ích Cộng đồng,2020,2024,Stable,Deteriorating
TCD,Tập đoàn Xây dựng Tracodi,Công nghiệp,2023,2024,High Risk,Stable
TCD,ĐT Phát triển CN và Vận tải,Công nghiệp,2020,2022,High Risk,Stable
TCL,Tan Cang Logistics,Công nghiệp,2020,2024,Stable,Stable
TCM,Dệt may Thành Công,Hàng Tiêu dùng,2020,2024,At Risk,Deteriorating
TCO,TCO Holdings,Công nghiệp,2023,2024,High Risk,Improving
TCO,Vận tải Duyên Hải,Công nghiệp,2020,2022,Healthy,Stable
TCR,Gốm sứ TAICERA,Công nghiệp,2020,2024,At Risk,Deteriorating
TCT,Cáp treo Tây Ninh,Dịch vụ Tiêu dùng,2020,2024,Stable,Improving
TDG,Đầu tư TDG Global,Tiện ích Cộng đồng,2020,2024,At Risk,Stable
TDM,Nước Thủ Dầu Một,Tiện ích Cộng đồng,2020,2024,At Risk,Stable
TDP,Công ty Thuận Đức,Công nghiệp,2020,2024,At Risk,Improving
TDW,Cấp nước Thủ Đức,Tiện ích Cộng đồng,2020,2024,Stable,Improving
TGG,The Golden Group,Công nghiệp,2020,2022,Stable,Stable
THG,XD Tiền Giang,Công nghiệp,2020,2024,Stable,Stable
TLG,Tập đoàn Thiên Long,Hàng Tiêu dùng,2020,2024,Healthy,Stable
TLH,Thép Tiến Lên,Nguyên vật liệu,2020,2024,At Risk,Deteriorating
TMP,Thủy điện Thác Mơ,Tiện ích Cộng đồng,2020,2024,Healthy,Stable
TMS,Transimex,Công nghiệp,2020,2024,At Risk,Deteriorating
TMT,Ô tô TMT,Hàng Tiêu dùng,2020,2024,High Risk,Improving
TNA,XNK Thiên Nam,Nguyên vật liệu,2020,2022,At Risk,Improving
TNC,Cao su Thống Nhất,Nguyên vật liệu,2020,2024,Stable,Stable
TNH,Bệnh viện Quốc tế Thái Nguyên,Dược phẩm và Y tế,2020,2022,Stable,Stable
TNH,Tập đoàn Bệnh viện TNH,Dược phẩm và Y tế,2023,2024,At Risk,Stable
TNI,Tập đoàn Thành Nam,Nguyên vật liệu,2020,2024,At Risk,Deteriorating
TNT,Tập đoàn TNT,Nguyên vật liệu,2020,2024,Stable,Improving
TPC,Nhựa Tân Đại Hưng,Nguyên vật liệu,2020,2024,High Risk,Stable
TRA,Traphaco,Dược phẩm và Y tế,2020,2024,Stable,Stable
TRC,Cao su Tây Ninh,Nguyên vật liệu,2020,2024,At Risk,Stable
TSC,Kỹ thuật NN Cần Thơ,Nguyên vật liệu,2020,2024,At Risk,Stable
TTA,XD và PT Trường Thành,Tiện ích Cộng đồng,2020,2024,High Risk,Improving
TTB,Tập đoàn Tiến Bộ,Công nghiệp,2020,2022,High Risk,Improving
TTE,ĐT Năng lượng Trường Thịnh,Tiện ích Cộng đồng,2020,2024,High Risk,Improving
