Ticker,Company Name,Industry,Year (t),Year (t+1),Financial State (t),Financial State (t+1)
CMX,CAMIMEX Group,Hàng Tiêu dùng,2022,2023,At_Risk,At_Risk
CMX,CAMIMEX Group,Hàng Tiêu dùng,2023,2024,At_Risk,At_Risk
CNG,CNG Việt Nam,Tiện ích Cộng đồng,2020,2021,Stable,Stable
CNG,CNG Việt Nam,Tiện ích Cộng đồng,2021,2022,Stable,Stable
CNG,CNG Việt Nam,Tiện ích Cộng đồng,2022,2023,Stable,Healthy
CNG,CNG Việt Nam,Tiện ích Cộng đồng,2023,2024,Healthy,Stable
COM,Vật tư Xăng dầu,Dịch vụ Tiêu dùng,2020,2021,Stable,Stable
COM,Vật tư Xăng dầu,Dịch vụ Tiêu dùng,2021,2022,Stable,At_Risk
COM,Vật tư Xăng dầu,Dịch vụ Tiêu dùng,2022,2023,At_Risk,Healthy
COM,Vật tư Xăng dầu,Dịch vụ Tiêu dùng,2023,2024,Healthy,Stable
CRC,Create Capital Việt Nam,Công nghiệp,2020,2021,At_Risk,At_Risk
CRC,Create Capital Việt Nam,Công nghiệp,2021,2022,At_Risk,At_Risk
CRC,Create Capital Việt Nam,Công nghiệp,2022,2023,At_Risk,High_Risk
CRC,Create Capital Việt Nam,Công nghiệp,2023,2024,High_Risk,At_Risk
CSM,Cao su Miền Nam,Hàng Tiêu dùng,2020,2021,At_Risk,At_Risk
CSM,Cao su Miền Nam,Hàng Tiêu dùng,2021,2022,At_Risk,At_Risk
CSM,Cao su Miền Nam,Hàng Tiêu dùng,2022,2023,At_Risk,At_Risk
CSM,Cao su Miền Nam,Hàng Tiêu dùng,2023,2024,At_Risk,At_Risk
CSV,Hóa chất Cơ bản miền Nam,Nguyên vật liệu,2020,2021,Healthy,Stable
CSV,Hóa chất Cơ bản miền Nam,Nguyên vật liệu,2021,2022,Stable,Healthy
CSV,Hóa chất Cơ bản miền Nam,Nguyên vật liệu,2022,2023,Healthy,Stable
CSV,Hóa chất Cơ bản miền Nam,Nguyên vật liệu,2023,2024,Stable,Healthy
CTD,Xây dựng Coteccons,Công nghiệp,2020,2021,Stable,At_Risk
CTD,Xây dựng Coteccons,Công nghiệp,2021,2022,At_Risk,At_Risk
CTD,Xây dựng Coteccons,Công nghiệp,2022,2023,At_Risk,At_Risk
CTD,Xây dựng Coteccons,Công nghiệp,2023,2024,At_Risk,At_Risk
CTF,City Auto,Hàng Tiêu dùng,2020,2021,At_Risk,At_Risk
CTF,City Auto,Hàng Tiêu dùng,2021,2022,At_Risk,Stable
CTF,City Auto,Hàng Tiêu dùng,2022,2023,Stable,At_Risk
CTF,City Auto,Hàng Tiêu dùng,2023,2024,At_Risk,Stable
CTI,Cường Thuận IDICO,Công nghiệp,2020,2021,High_Risk,High_Risk
CTI,Cường Thuận IDICO,Công nghiệp,2021,2022,High_Risk,High_Risk
CTI,Cường Thuận IDICO,Công nghiệp,2022,2023,High_Risk,At_Risk
CTI,Cường Thuận IDICO,Công nghiệp,2023,2024,At_Risk,High_Risk
CTR,Công trình Viettel,Công nghiệp,2020,2021,Stable,Stable
CTR,Công trình Viettel,Công nghiệp,2021,2022,Stable,Stable
CTR,Công trình Viettel,Công nghiệp,2022,2023,Stable,Stable
CTR,Công trình Viettel,Công nghiệp,2023,2024,Stable,Stable
CVT,CMC JSC,Công nghiệp,2020,2021,Healthy,High_Risk
CVT,CMC JSC,Công nghiệp,2021,2022,High_Risk,High_Risk
CVT,CMC JSC,Công nghiệp,2022,2023,High_Risk,High_Risk
CVT,CMC JSC,Công nghiệp,2023,2024,High_Risk,High_Risk
DAG,TĐ Nhựa Đông Á,Nguyên vật liệu,2020,2021,High_Risk,At_Risk
DAG,TĐ Nhựa Đông Á,Nguyên vật liệu,2021,2022,At_Risk,High_Risk
DAH,Tập đoàn Khách sạn Đông Á,Dịch vụ Tiêu dùng,2020,2021,At_Risk,Stable
DAH,Tập đoàn Khách sạn Đông Á,Dịch vụ Tiêu dùng,2021,2022,Stable,Stable
DAH,Tập đoàn Khách sạn Đông Á,Dịch vụ Tiêu dùng,2022,2023,Stable,At_Risk
DAH,Tập đoàn Khách sạn Đông Á,Dịch vụ Tiêu dùng,2023,2024,At_Risk,Stable
DAT,ĐT Du lịch và PT Thủy sản,Hàng Tiêu dùng,2020,2021,At_Risk,At_Risk
DAT,ĐT Du lịch và PT Thủy sản,Hàng Tiêu dùng,2021,2022,At_Risk,Stable
DAT,ĐT Du lịch và PT Thủy sản,Hàng Tiêu dùng,2022,2023,Stable,Stable
DAT,ĐT Du lịch và PT Thủy sản,Hàng Tiêu dùng,2023,2024,Stable,At_Risk
DBC,Tập đoàn DABACO,Hàng Tiêu dùng,2020,2021,At_Risk,At_Risk
DBC,Tập đoàn DABACO,Hàng Tiêu dùng,2021,2022,At_Risk,High_Risk
DBC,Tập đoàn DABACO,Hàng Tiêu dùng,2022,2023,High_Risk,At_Risk
DBC,Tập đoàn DABACO,Hàng Tiêu dùng,2023,2024,At_Risk,At_Risk
DBD,Dược - TB Y tế Bình Định,Dược phẩm và Y tế,2020,2021,Healthy,Healthy
DBD,Dược - TB Y tế Bình Định,Dược phẩm và Y tế,2021,2022,Healthy,Healthy
DBD,Dược - TB Y tế Bình Định,Dược phẩm và Y tế,2022,2023,Healthy,Healthy
DBD,Dược - TB Y tế Bình Định,Dược phẩm và Y tế,2023,2024,Healthy,Healthy
DBT,Dược phẩm Bến Tre,Dược phẩm và Y tế,2020,2021,At_Risk,At_Risk
DBT,Dược phẩm Bến Tre,Dược phẩm và Y tế,2021,2022,At_Risk,At_Risk
DBT,Dược phẩm Bến Tre,Dược phẩm và Y tế,2022,2023,At_Risk,At_Risk
DBT,Dược phẩm Bến Tre,Dược phẩm và Y tế,2023,2024,At_Risk,At_Risk
DC4,Xây dựng DIC Holdings,Công nghiệp,2020,2021,At_Risk,At_Risk
DC4,Xây dựng DIC Holdings,Công nghiệp,2021,2022,At_Risk,At_Risk
DC4,Xây dựng DIC Holdings,Công nghiệp,2022,2023,At_Risk,At_Risk
DC4,Xây dựng DIC Holdings,Công nghiệp,2023,2024,At_Risk,At_Risk
DCL,Dược phẩm Cửu Long,Dược phẩm và Y tế,2020,2021,Stable,At_Risk
DCL,Dược phẩm Cửu Long,Dược phẩm và Y tế,2021,2022,At_Risk,Stable
DCL,Dược phẩm Cửu Long,Dược phẩm và Y tế,2022,2023,Stable,At_Risk
DCL,Dược phẩm Cửu Long,Dược phẩm và Y tế,2023,2024,At_Risk,At_Risk
DCM,Đạm Cà Mau,Nguyên vật liệu,2020,2021,Stable,At_Risk
DCM,Đạm Cà Mau,Nguyên vật liệu,2021,2022,At_Risk,Healthy
DCM,Đạm Cà Mau,Nguyên vật liệu,2022,2023,Healthy,Stable
DCM,Đạm Cà Mau,Nguyên vật liệu,2023,2024,Stable,Stable
