Mã,Tên công ty,Sàn,Ngành ICB - cấp 1,Ngành ICB - cấp 2,Ngành ICB - cấp 3,Ngành ICB - cấp 4,Năm,Current_Ratio,Quick_Ratio,Cash_Ratio,Debt_Equity,Net_Leverage,Asset_Turnover,Fixed_Asset_Turnover,Inventory_Turnover,Receivables_Turnover,ln_Total_Assets,ln_Revenue,ROA,ROE,ROS
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2021,1.5409354180336676,0.31819886834117456,0.13589090817741997,1.0640864388757811,13.8154738016283,0.8323540451841965,4.259049522030817,0.10240851429139702,8.856322744526603,7.285629443530172,7.102270071306612,0.028863511593422476,0.05957678285831722,0.03467696440044945
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2022,1.8391019371042128,0.310087199662543,0.05794318304228973,0.7969058971206253,5.866659251715523,0.7877523565358077,4.529826917641121,-0.11617878848781132,7.044648648322354,7.301397482558704,7.063007718423026,0.0796207731659442,0.14307103683518876,0.10107335446901325
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2023,1.5600481703360642,0.3074963865329773,0.07483068341647832,1.1888230024352935,-203.01501027123356,0.6384136505965207,4.457955155657247,-0.19858281936380975,5.05199881096307,7.4674740184332995,7.019028729371246,0.005632777918505497,0.012329153875634425,0.008823085022136265
ACL,Thủy sản CL An Giang,HOSE,Hàng Tiêu dùng,Thực phẩm và đồ uống,Sản xuất thực phẩm,Nuôi trồng nông & hải sản,2024,1.6385322266642606,0.40629241374083536,0.07684731410627939,1.062348457988052,79.3175102878088,1.047247114172288,7.432909133273715,0.111600245747084,6.17107997506066,7.4210817392118065,7.467219662354181,0.006310159867924566,0.013013748473272317,0.006025473627503783
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2020,1.6370722886562745,1.6303633977408096,0.1011945775915306,0.8527594735192466,6.2191685449666325,1.0154672845235246,98.3634089497686,,2.326057757191149,6.100341782246,6.115656516060439,0.08880189594795754,0.16452855398404873,0.08744929285400363
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2021,2.090109227669739,2.0463662292565825,0.059526771684361025,0.6685705024459757,7.063912084301325,1.3005535672657753,57.86280803010892,-1.52552930141067,4.553403688004365,6.110581779567848,6.372858779428845,0.08600025261034835,0.1434974847085298,0.06612588268175018
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2022,3.0379741217812493,2.9983650031038658,0.42363336001937313,0.26175433429657036,1.5366387351720763,1.3102314626877531,52.14814558901812,-2.942383746195089,4.637456660627131,6.017918185676607,6.287545343605306,0.1285813004336442,0.16223801313164007,0.09813632483674145
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2023,2.624401687233006,2.5933946462361934,0.32245051927015167,0.29963722413620625,5.755995495301608,0.9154846559683647,49.094920030658024,-2.389355186588884,5.876562789214485,6.111232592552656,6.023135639708192,0.04943928641817754,0.0642531369637951,0.0540034025648224
ADG,Clever Group,HOSE,Dịch vụ Tiêu dùng,Truyền thông,Truyền thông,Dịch vụ truyền thông,2024,2.251595682415885,2.172739807351833,0.46095178239850776,0.28139776712834835,3.8691641006303144,0.935695155535756,19.893050695183867,-1.0688706704701498,7.512078407683789,6.20879464225387,6.1424673382713335,0.04256043459986609,0.0545368458642805,0.045485363847477686
ADP,Sơn Á Đông,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2020,4.1368528442335215,2.7044868947026885,0.2590481479990156,0.22852396917135318,0.7868200991156709,1.7356350276234136,7.666292825531304,,11.446109425999408,5.801385687159525,6.35147679403949,0.23774656465366556,0.292077353265175,0.1369795843422274
ADP,Sơn Á Đông,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2021,5.120803447589528,3.765924219150601,0.19981696881829183,0.19011583215043878,1.14209899118329,1.252958883539139,6.885376751108681,0.2190438344263868,7.085345303537458,5.804924785639772,6.029824233689059,0.14983108966701617,0.17831635196106793,0.11958180881706151
ADP,Sơn Á Đông,HOSE,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2022,3.6591427571646307,2.769537272119794,0.1276624809176506,0.3068042068137239,2.469037195760478,1.638450820328962,11.657976975849152,-0.04451619913049845,7.131999499393394,5.884723694311919,6.377390375632114,0.11170364990950539,0.14597479961818907,0.06817638254596982
